agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,02089500,1931-08-05,2700,A
USGS,02089500,1931-08-06,5000,A
USGS,02089500,1931-08-07,5360,A
USGS,02089500,1931-08-08,5500,A
USGS,02089500,1931-08-09,5950,A
USGS,02089500,1931-08-10,6270,A
USGS,02089500,1931-08-11,6930,A
USGS,02089500,1931-08-12,8040,A
USGS,02089500,1931-08-13,9480,A
USGS,02089500,1931-08-14,10700,A
USGS,02089500,1931-08-15,11200,A
USGS,02089500,1931-08-16,10800,A
USGS,02089500,1931-08-17,10300,A
USGS,02089500,1931-08-18,9970,A
USGS,02089500,1931-08-19,10300,A
USGS,02089500,1931-08-20,10700,A
USGS,02089500,1931-08-21,10800,A
USGS,02089500,1931-08-22,11200,A
USGS,02089500,1931-08-23,11400,A
USGS,02089500,1931-08-24,10800,A
USGS,02089500,1931-08-25,9970,A
USGS,02089500,1931-08-26,9320,A
USGS,02089500,1931-08-27,9480,A
USGS,02089500,1931-08-28,9640,A
USGS,02089500,1931-08-29,9640,A
USGS,02089500,1931-08-30,8870,A
USGS,02089500,1931-08-31,6710,A
USGS,02089500,1931-09-01,4270,A
USGS,02089500,1931-09-02,2180,A
USGS,02089500,1931-09-03,1820,A
USGS,02089500,1931-09-04,1920,A
USGS,02089500,1931-09-05,1920,A
USGS,02089500,1931-09-06,1660,A
USGS,02089500,1931-09-07,2130,A
USGS,02089500,1931-09-08,2180,A
USGS,02089500,1931-09-09,1960,A
USGS,02089500,1931-09-10,1860,A
USGS,02089500,1931-09-11,1760,A
USGS,02089500,1931-09-12,1600,A
USGS,02089500,1931-09-13,1400,A
USGS,02089500,1931-09-14,1200,A
USGS,02089500,1931-09-15,1000,A
USGS,02089500,1931-09-16,900,A
USGS,02089500,1931-09-17,800,A
USGS,02089500,1931-09-18,750,A
USGS,02089500,1931-09-19,700,A
USGS,02089500,1931-09-20,700,A
USGS,02089500,1931-09-21,650,A
USGS,02089500,1931-09-22,650,A
USGS,02089500,1931-09-23,600,A
USGS,02089500,1931-09-24,600,A
USGS,02089500,1931-09-25,576,A
USGS,02089500,1931-09-26,546,A
USGS,02089500,1931-09-27,668,A
USGS,02089500,1931-09-28,765,A
USGS,02089500,1931-09-29,833,A
USGS,02089500,1931-09-30,868,A
USGS,02089500,1931-10-01,799,A
USGS,02089500,1931-10-02,668,A
USGS,02089500,1931-10-03,576,A
USGS,02089500,1931-10-04,546,A
USGS,02089500,1931-10-05,517,A
USGS,02089500,1931-10-06,517,A
USGS,02089500,1931-10-07,517,A
USGS,02089500,1931-10-08,546,A
USGS,02089500,1931-10-09,517,A
USGS,02089500,1931-10-10,517,A
USGS,02089500,1931-10-11,440,A
USGS,02089500,1931-10-12,440,A
USGS,02089500,1931-10-13,440,A
USGS,02089500,1931-10-14,440,A
USGS,02089500,1931-10-15,500,A
USGS,02089500,1931-10-16,500,A
USGS,02089500,1931-10-17,500,A
USGS,02089500,1931-10-18,500,A
USGS,02089500,1931-10-19,460,A
USGS,02089500,1931-10-20,432,A
USGS,02089500,1931-10-21,405,A
USGS,02089500,1931-10-22,405,A
USGS,02089500,1931-10-23,405,A
USGS,02089500,1931-10-24,378,A
USGS,02089500,1931-10-25,378,A
USGS,02089500,1931-10-26,378,A
USGS,02089500,1931-10-27,378,A
USGS,02089500,1931-10-28,378,A
USGS,02089500,1931-10-29,378,A
USGS,02089500,1931-10-30,378,A
USGS,02089500,1931-10-31,405,A
USGS,02089500,1931-11-01,390,A
USGS,02089500,1931-11-02,390,A
USGS,02089500,1931-11-03,390,A
USGS,02089500,1931-11-04,390,A
USGS,02089500,1931-11-05,390,A
